"Date","Air Temp(°F)"
"2018/02/01 11:55 pm","42.8"
"2018/02/01 11:50 pm","42.8"
"2018/02/01 11:45 pm","43.775"
"2018/02/01 11:40 pm","44.1"
"2018/02/01 11:35 pm","44.1"
"2018/02/01 11:30 pm","41.5"
"2018/02/01 11:25 pm","41.5"
"2018/02/01 11:20 pm","42.175"
"2018/02/01 11:15 pm","44.2"
"2018/02/01 11:10 pm","44.2"
"2018/02/01 11:05 pm","44.5"
"2018/02/01 11:00 pm","44.6"
"2018/02/01 10:55 pm","44.6"
"2018/02/01 10:50 pm","42.3"
"2018/02/01 10:45 pm","42.3"
"2018/02/01 10:40 pm","42.3"
"2018/02/01 10:35 pm","47.1"
"2018/02/01 10:30 pm","47.1"
"2018/02/01 10:25 pm","47"
"2018/02/01 10:20 pm","46.8"
"2018/02/01 10:15 pm","46.8"
"2018/02/01 10:10 pm","46.2"
"2018/02/01 10:05 pm","45.9"
"2018/02/01 10:00 pm","45.9"
"2018/02/01 09:55 pm","44.775"
"2018/02/01 09:50 pm","44.4"
"2018/02/01 09:45 pm","44.4"
"2018/02/01 09:40 pm","47.1"
"2018/02/01 09:35 pm","47.1"
"2018/02/01 09:30 pm","46.825"
"2018/02/01 09:25 pm","46"
"2018/02/01 09:20 pm","46"
"2018/02/01 09:15 pm","45.85"
"2018/02/01 09:10 pm","45.7"
"2018/02/01 09:05 pm","45.7"
"2018/02/01 09:00 pm","46"
"2018/02/01 08:55 pm","46"
"2018/02/01 08:50 pm","46"
"2018/02/01 08:45 pm","48.2"
"2018/02/01 08:40 pm","48.2"
"2018/02/01 08:35 pm","48.325"
"2018/02/01 08:30 pm","48.7"
"2018/02/01 08:25 pm","48.7"
"2018/02/01 08:20 pm","49.1"
"2018/02/01 08:15 pm","49.5"
"2018/02/01 08:10 pm","49.5"
"2018/02/01 08:05 pm","49.8"
"2018/02/01 08:00 pm","49.8"
"2018/02/01 07:55 pm","49.8"
"2018/02/01 07:50 pm","48"
"2018/02/01 07:45 pm","48"
"2018/02/01 07:40 pm","47.775"
"2018/02/01 07:35 pm","47.1"
"2018/02/01 07:30 pm","47.1"
"2018/02/01 07:25 pm","48.2"
"2018/02/01 07:20 pm","49.3"
"2018/02/01 07:15 pm","49.3"
"2018/02/01 07:10 pm","49.15"
"2018/02/01 07:05 pm","49.1"
"2018/02/01 07:00 pm","49.1"
"2018/02/01 06:55 pm","47.1"
"2018/02/01 06:50 pm","47.1"
"2018/02/01 06:45 pm","47.1"
"2018/02/01 06:40 pm","49.3"
"2018/02/01 06:35 pm","49.3"
"2018/02/01 06:30 pm","49.75"
"2018/02/01 06:25 pm","50.2"
"2018/02/01 06:20 pm","50.2"
"2018/02/01 06:15 pm","50.05"
"2018/02/01 06:10 pm","50"
"2018/02/01 06:05 pm","50"
"2018/02/01 06:00 pm","50"
"2018/02/01 05:55 pm","50"
"2018/02/01 05:50 pm","50.9"
"2018/02/01 05:45 pm","51.8"
"2018/02/01 05:40 pm","51.8"
"2018/02/01 05:35 pm","52.4"
"2018/02/01 05:30 pm","52.7"
"2018/02/01 05:25 pm","52.7"
"2018/02/01 05:20 pm","53.8"
"2018/02/01 05:15 pm","53.8"
