"Date","Wind Speed(mph)","Wind Dir","Gust Speed(mph)","Gust Dir","Visibility(miles)","Air Temp(°F)","Relative Humidity(%)","Dew Point(°F)","Rain?(y/n)","Rain Rate(in/hr)"
"2018/04/30 11:55 pm","5.567","W","9.467","SW","","45","53.333","28.933","No","0"
"2018/04/30 11:50 pm","7.575","SSW","10.3","S","","45.6","53","29.55","No","0"
"2018/04/30 11:45 pm","8.1","S","10.3","S","","45.7","53","29.7","No","0"
"2018/04/30 11:40 pm","6.5","S","10.5","SSW","","46","54","30.2","No","0"
"2018/04/30 11:35 pm","6.9","SSW","10.7","SSW","","46.2","53","29.8","No","0"
"2018/04/30 11:30 pm","7.05","SSW","11.05","SSW","","46.3","53","29.9","No","0"
"2018/04/30 11:25 pm","7.2","SSW","11.4","SSW","","46.4","53","30","No","0"
"2018/04/30 11:20 pm","7.6","SSW","11.9","SSW","","46.2","53","30","No","0"
"2018/04/30 11:15 pm","7.2","SSW","11","SSW","","46","52","29.5","No","0"
"2018/04/30 11:10 pm","7.05","SSW","10.75","S","","46.1","52","29.5","No","0"
"2018/04/30 11:05 pm","6.675","S","10.4","SSE","","46.2","52","29.45","No","0"
"2018/04/30 11:00 pm","6","SSE","10.1","SSE","","46.2","52","29.3","No","0"
"2018/04/30 10:40 pm","7.8","S","16.1","SSW","","46.9","51","29.8","No","0"
"2018/04/30 10:35 pm","8.5","S","16.1","SSW","","47.3","51","30.2","No","0"
"2018/04/30 10:30 pm","11","S","17.4","SSE","","47.7","51","30.4","No","0"
"2018/04/30 10:25 pm","11.2","S","17.4","SSE","","47.85","51","30.5","No","0"
"2018/04/30 10:20 pm","10.8","S","16.533","SSE","","48.067","50.667","30.467","No","0"
"2018/04/30 10:15 pm","9.6","S","14.8","SSE","","48.2","50","30.2","No","0"
"2018/04/30 10:10 pm","8.1","S","10.7","S","","48.6","48","29.7","No","0"
"2018/04/30 10:05 pm","5.8","S","9.6","S","","48.7","46","28.8","No","0"
"2018/04/30 10:00 pm","6.475","S","11.775","S","","48.625","46","28.65","No","0"
"2018/04/30 09:55 pm","8.35","S","12.5","S","","47.775","47.5","28.45","No","0"
"2018/04/30 09:50 pm","2.225","SE","3.8","SSW","","45.85","42.75","24.2","No","0"
"2018/04/30 09:45 pm","0","SSW","3.075","SSW","","45.975","39.5","22.65","No","0"
"2018/04/30 09:40 pm","0","WSW","2.85","SW","","46.2","39","22.6","No","0"
"2018/04/30 09:35 pm","0","W","0","WSW","","46.2","39","22.6","No","0"
"2018/04/30 09:30 pm","0","W","4","WSW","","46.9","38","22.6","No","0"
"2018/04/30 09:25 pm","0.7","WSW","4","WSW","","47.8","36","22.5","No","0"
"2018/04/30 09:20 pm","0","W","0","WNW","","46.8","38","22.3","No","0"
"2018/04/30 09:15 pm","0","NW","0","WNW","","47.5","37","22.6","No","0"
"2018/04/30 09:10 pm","0","WNW","0","NW","","47.8","37","22.5","No","0"
"2018/04/30 09:05 pm","0","WNW","0","W","","47.7","37","22.6","No","0"
"2018/04/30 09:00 pm","0","W","0","WNW","","48.225","35.5","22.225","No","0"
"2018/04/30 08:55 pm","0","WNW","0","WNW","","48.567","35","22.167","No","0"
"2018/04/30 08:50 pm","0","WNW","0","NW","","48.9","35","22.3","No","0"
"2018/04/30 08:45 pm","0","NW","4.9","WSW","","49.1","35","22.5","No","0"
"2018/04/30 08:40 pm","2.55","WSW","5.05","WSW","","49.625","34.25","22.35","No","0"
"2018/04/30 08:35 pm","2.55","WSW","5.225","WSW","","49.975","33.75","22.25","No","0"
"2018/04/30 08:30 pm","0","WSW","5.6","WSW","","50.5","33","22.1","No","0"
"2018/04/30 08:25 pm","4","WSW","5.8","WSW","","50.4","33","22.3","No","0"
"2018/04/30 08:20 pm","3.55","SW","7.825","W","","50.475","33","22.3","No","0"
