"Date","Wind Speed(mph)","Wind Dir","Gust Speed(mph)","Gust Dir","Visibility(miles)","Air Temp(°F)","Relative Humidity(%)","Dew Point(°F)","Rain?(y/n)","Rain Rate(in/hr)"
"2018/08/01 11:55 pm","6.725","S","11.725","SSW","","80.85","33","48.85","Yes","0"
"2018/08/01 11:50 pm","5.35","S","10.2","S","","80.45","33","48.65","Yes","0"
"2018/08/01 11:45 pm","4.15","SSE","8.95","S","","80.1","33","48.4","Yes","0"
"2018/08/01 11:40 pm","3.6","S","8.3","S","","80","33","48.2","Yes","0"
"2018/08/01 11:35 pm","3.6","S","8.1","S","","79.9","33","48.1","Yes","0"
"2018/08/01 11:30 pm","3.6","S","8.4","S","","79.55","33","47.9","Yes","0"
"2018/08/01 11:25 pm","4.25","S","8.7","SSE","","79.65","32.5","47.75","Yes","0"
"2018/08/01 11:20 pm","4.15","S","7.95","SSE","","79.55","32.5","47.4","Yes","0"
"2018/08/01 11:15 pm","3.6","S","7.4","S","","79.1","32.5","47.1","Yes","0"
"2018/08/01 11:10 pm","3.45","S","7.6","SSW","","79.7","31.5","47.1","Yes","0"
"2018/08/01 11:05 pm","2.9","S","7.5","SSW","","78.7","32","46.55","Yes","0"
"2018/08/01 11:00 pm","2.1","SSE","5.867","S","","76.933","33.667","46.4","Yes","0"
"2018/08/01 10:55 pm","1.35","SE","5.8","S","","77.1","33.5","46.25","Yes","0"
"2018/08/01 10:50 pm","0.967","SE","6.5","S","","78.033","32.333","45.833","Yes","0"
"2018/08/01 10:45 pm","0.55","S","5.25","SSW","","79.95","29.5","45.15","Yes","0"
"2018/08/01 10:40 pm","0.35","W","4.25","WSW","","80.8","28","44.8","Yes","0"
"2018/08/01 10:35 pm","0.35","NW","5.15","W","","81.05","28","45.15","Yes","0"
"2018/08/01 10:30 pm","2","WNW","7.15","W","","81.55","27.5","45.05","Yes","0"
"2018/08/01 10:25 pm","4.125","W","8.55","W","","82.15","26.75","44.7","Yes","0"
"2018/08/01 10:20 pm","4.55","W","8.7","WNW","","82.6","26","44.35","Yes","0"
"2018/08/01 10:15 pm","3.625","W","7.8","W","","82.225","26.25","44.175","Yes","0"
"2018/08/01 10:10 pm","0.925","W","5.05","WSW","","80.975","27","44.05","Yes","0"
"2018/08/01 10:05 pm","2.425","WSW","4.9","S","","80.925","27.25","44.4","Yes","0"
"2018/08/01 10:00 pm","1.7","WSW","5.4","S","","81.9","27.75","45.575","Yes","0"
"2018/08/01 09:55 pm","0.6","WSW","6.9","S","","81.975","26.75","44.475","Yes","0"
"2018/08/01 09:50 pm","1.35","S","5.9","SSE","","81.975","26.25","44.05","Yes","0"
"2018/08/01 09:45 pm","0.05","WSW","3.075","S","","81.475","27","44.125","Yes","0"
"2018/08/01 09:40 pm","0.325","W","4.325","WNW","","82.2","26.5","44.475","Yes","0"
"2018/08/01 09:35 pm","1.025","SW","6.9","WSW","","82.925","25","43.6","Yes","0"
"2018/08/01 09:30 pm","2.625","W","8.2","W","","83.35","25","43.975","Yes","0"
"2018/08/01 09:25 pm","4.5","W","8.5","W","","83.325","25.25","44.125","Yes","0"
"2018/08/01 09:20 pm","3.425","W","7.275","WNW","","82.425","26.5","44.2","Yes","0"
"2018/08/01 09:15 pm","0.15","W","2.7","W","","81.575","27.75","45.025","Yes","0"
"2018/08/01 09:10 pm","0","SE","1.35","SSE","","82.525","26.75","44.7","Yes","0"
"2018/08/01 08:50 pm","4.15","S","7.375","SSE","","83.25","25.25","44.125","Yes","0"
"2018/08/01 08:45 pm","2.325","SE","6.1","SE","","83.325","25.75","44.175","Yes","0"
"2018/08/01 08:40 pm","0.325","SSW","4.725","S","","83.95","25","44.1","Yes","0.25"
"2018/08/01 08:35 pm","1.025","WSW","6.225","SW","","83.9","24.75","44.05","Yes","0.75"
"2018/08/01 08:30 pm","0.2","SE","6.9","SSW","","84.2","24","43.9","Yes","0"
"2018/08/01 08:25 pm","2","S","9.4","SW","","84.4","25","44.2","Yes","1"
"2018/08/01 08:20 pm","4.7","WSW","10.3","W","","84.7","24","44.2","Yes","0"
"2018/08/01 08:15 pm","3.45","SW","15.35","W","","84.45","24.5","44.2","Yes","0"
"2018/08/01 08:10 pm","3.05","SW","20.4","W","","84.375","24.75","44.25","Yes","0"
"2018/08/01 08:05 pm","6","W","19.325","W","","84.85","24","44.35","Yes","0"
"2018/08/01 08:00 pm","7.35","W","15.275","W","","84.75","24","44.2","Yes","0"
"2018/08/01 07:55 pm","8.025","W","12.85","W","","84.95","24","44.175","Yes","0"
"2018/08/01 07:50 pm","8.7","WNW","13.325","WNW","","85.15","24","44.1","Yes","0"
"2018/08/01 07:45 pm","8.7","WNW","14.3","NW","","85.3","24","44.1","Yes","0"
