"Date","Wind Speed(mph)","Wind Dir","Gust Speed(mph)","Gust Dir","Visibility(miles)","Air Temp(°F)","Relative Humidity(%)","Dew Point(°F)","Rain?(y/n)","Rain Rate(in/hr)"
"2018/12/01 11:55 pm","6.3","W","11","W","","33.4","83","28.8","Yes","0"
"2018/12/01 11:50 pm","6.3","W","11","W","","33.4","83","28.8","Yes","0"
"2018/12/01 11:45 pm","6.7","W","14.1","W","","33.4","83","28.8","No","0"
"2018/12/01 11:40 pm","9.2","W","14.1","W","","33.4","82","28.6","No","0"
"2018/12/01 11:35 pm","4.7","W","12.8","WSW","","33.6","82","28.4","No","0"
"2018/12/01 11:30 pm","7.8","WSW","10.7","W","","33.6","81","28.2","No","0"
"2018/12/01 11:25 pm","7.8","WSW","10.7","W","","33.6","81","28.2","No","0"
"2018/12/01 11:20 pm","7.4","WNW","9.2","WNW","","33.4","82","28.6","No","0"
"2018/12/01 11:15 pm","5.4","WNW","13","W","","33.4","84","28.9","No","0"
"2018/12/01 11:10 pm","6.7","WNW","13","W","","33.3","84","28.8","No","0"
"2018/12/01 11:05 pm","6.9","WNW","11.4","WNW","","33.4","83","28.9","No","0"
"2018/12/01 11:00 pm","6.9","WNW","11.4","WNW","","33.4","83","28.9","No","0"
"2018/12/01 10:55 pm","5.6","W","11.4","W","","33.6","81","28.2","No","0"
"2018/12/01 10:50 pm","6","W","11.4","W","","33.6","80","28","No","0"
"2018/12/01 10:45 pm","6.7","W","11.2","W","","33.45","81","28.1","No","0"
"2018/12/01 10:40 pm","7.4","WNW","11","WNW","","33.3","82","28.2","No","0"
"2018/12/01 10:35 pm","7.4","W","11.4","WNW","","33.4","81","28","No","0"
"2018/12/01 10:30 pm","8.7","WNW","11.4","WNW","","33.8","80","28","No","0"
"2018/12/01 10:25 pm","7.4","WNW","10.3","WNW","","33.4","81","28","No","0"
"2018/12/01 10:20 pm","8.1","WNW","11.6","WNW","","33.6","80","27.9","No","0"
"2018/12/01 10:15 pm","8.7","WNW","12.5","WNW","","33.8","79","28","No","0"
"2018/12/01 10:10 pm","10.5","WNW","14.5","WNW","","33.8","79","27.9","No","0"
"2018/12/01 10:05 pm","9.8","WNW","14.5","WNW","","34","78","28","No","0"
"2018/12/01 10:00 pm","8.7","WNW","13.2","WNW","","34","78","27.7","No","0"
"2018/12/01 09:55 pm","8.3","W","14.3","WNW","","34.3","76","27.5","No","0"
"2018/12/01 09:50 pm","8.1","WSW","19.5","SW","","34.2","77","27.7","No","0"
"2018/12/01 09:45 pm","8.9","W","19.5","SW","","34.2","77","27.7","No","0"
"2018/12/01 09:40 pm","9.4","W","17","WSW","","34.3","76","27.5","No","0"
"2018/12/01 09:35 pm","8.3","WSW","17.2","W","","34.2","77","27.5","No","0"
