"Date","Wind Speed(mph)","Wind Dir","Gust Speed(mph)","Gust Dir","Visibility(miles)","Air Temp(°F)","Relative Humidity(%)","Dew Point(°F)","Rain?(y/n)","Rain Rate(in/hr)"
"2018/02/01 11:55 pm","0","WNW","0","NW","","42.8","32","15.1","No","0"
"2018/02/01 11:50 pm","0","WNW","0","NW","","42.8","32","15.1","No","0"
"2018/02/01 11:45 pm","0","NW","0","W","","43.775","30.5","14.95","No","0"
"2018/02/01 11:40 pm","0","NW","0","WSW","","44.1","30","14.9","No","0"
"2018/02/01 11:35 pm","0","NW","0","WSW","","44.1","30","14.9","No","0"
"2018/02/01 11:30 pm","0","NW","0","W","","41.5","37","16.9","No","0"
"2018/02/01 11:25 pm","0","NW","0","W","","41.5","37","16.9","No","0"
"2018/02/01 11:20 pm","0","NW","0","W","","42.175","35.5","16.575","No","0"
"2018/02/01 11:15 pm","0","W","0","WSW","","44.2","31","15.6","No","0"
"2018/02/01 11:10 pm","0","W","0","WSW","","44.2","31","15.6","No","0"
"2018/02/01 11:05 pm","0","SW","1.5","WSW","","44.5","31","15.9","No","0"
"2018/02/01 11:00 pm","0","SSW","2","WSW","","44.6","31","16","No","0"
"2018/02/01 10:55 pm","0","SSW","2","WSW","","44.6","31","16","No","0"
"2018/02/01 10:50 pm","0.2","WNW","4","SSW","","42.3","36","17.2","No","0"
"2018/02/01 10:45 pm","0.2","WNW","4","SSW","","42.3","36","17.2","No","0"
"2018/02/01 10:40 pm","0.2","WNW","4","SSW","","42.3","36","17.2","No","0"
"2018/02/01 10:35 pm","1.8","WNW","3.6","WSW","","47.1","28","15.4","No","0"
"2018/02/01 10:30 pm","1.8","WNW","3.6","WSW","","47.1","28","15.4","No","0"
"2018/02/01 10:25 pm","1.2","W","3.233","W","","47","27.667","15.233","No","0"
"2018/02/01 10:20 pm","0","W","2.5","NNW","","46.8","27","14.9","No","0"
"2018/02/01 10:15 pm","0","W","2.5","NNW","","46.8","27","14.9","No","0"
"2018/02/01 10:10 pm","0.133","W","2.767","W","","46.2","29","15.767","No","0"
"2018/02/01 10:05 pm","0.2","WNW","2.9","SW","","45.9","30","16.2","No","0"
"2018/02/01 10:00 pm","0.2","WNW","2.9","SW","","45.9","30","16.2","No","0"
"2018/02/01 09:55 pm","0.575","W","3.575","SW","","44.775","32.25","16.725","No","0"
"2018/02/01 09:50 pm","0.7","WSW","3.8","SW","","44.4","33","16.9","No","0"
"2018/02/01 09:45 pm","0.7","WSW","3.8","SW","","44.4","33","16.9","No","0"
"2018/02/01 09:40 pm","3.1","W","3.6","WNW","","47.1","28","16","No","0"
"2018/02/01 09:35 pm","3.1","W","3.6","WNW","","47.1","28","16","No","0"
"2018/02/01 09:30 pm","2.95","WNW","3.775","WNW","","46.825","28.5","16.125","No","0"
"2018/02/01 09:25 pm","2.5","WNW","4.3","NW","","46","30","16.5","No","0"
"2018/02/01 09:20 pm","2.5","WNW","4.3","NW","","46","30","16.5","No","0"
"2018/02/01 09:15 pm","3.7","NW","4.7","NW","","45.85","30.5","16.6","No","0"
"2018/02/01 09:10 pm","4.9","NW","5.1","NW","","45.7","31","16.7","No","0"
"2018/02/01 09:05 pm","4.9","NW","5.1","NW","","45.7","31","16.7","No","0"
"2018/02/01 09:00 pm","3.6","W","4.7","W","","46","31","17.1","No","0"
"2018/02/01 08:55 pm","3.6","W","4.7","W","","46","31","17.1","No","0"
"2018/02/01 08:50 pm","3.6","W","4.7","W","","46","31","17.1","No","0"
"2018/02/01 08:45 pm","3.8","WNW","4.5","W","","48.2","28","16.3","No","0"
"2018/02/01 08:40 pm","3.8","WNW","4.5","W","","48.2","28","16.3","No","0"
"2018/02/01 08:35 pm","4.025","W","4.65","W","","48.325","27.75","16.3","No","0"
"2018/02/01 08:30 pm","4.7","W","5.1","W","","48.7","27","16.3","No","0"
"2018/02/01 08:25 pm","4.7","W","5.1","W","","48.7","27","16.3","No","0"
"2018/02/01 08:20 pm","3.6","W","4.7","WNW","","49.1","26.5","16.25","No","0"
"2018/02/01 08:15 pm","2.5","W","4.3","WNW","","49.5","26","16.2","No","0"
"2018/02/01 08:10 pm","2.5","W","4.3","WNW","","49.5","26","16.2","No","0"
"2018/02/01 08:05 pm","4.7","W","5.4","WNW","","49.8","26","16.3","No","0"
"2018/02/01 08:00 pm","4.7","W","5.4","WNW","","49.8","26","16.3","No","0"
"2018/02/01 07:55 pm","4.7","W","5.4","WNW","","49.8","26","16.3","No","0"
"2018/02/01 07:50 pm","3.6","WNW","4.7","WNW","","48","28","16.7","No","0"
"2018/02/01 07:45 pm","3.6","WNW","4.7","WNW","","48","28","16.7","No","0"
"2018/02/01 07:40 pm","3.475","WNW","4.6","WNW","","47.775","28.75","17.1","No","0"
"2018/02/01 07:35 pm","3.1","WNW","4.3","WNW","","47.1","31","18.3","No","0"
"2018/02/01 07:30 pm","3.1","WNW","4.3","WNW","","47.1","31","18.3","No","0"
"2018/02/01 07:25 pm","3.1","WNW","4.6","WNW","","48.2","30.5","18.5","No","0"
"2018/02/01 07:20 pm","3.1","W","4.9","WNW","","49.3","30","18.7","No","0"
"2018/02/01 07:15 pm","3.1","W","4.9","WNW","","49.3","30","18.7","No","0"
"2018/02/01 07:10 pm","4.15","W","5.575","W","","49.15","30","18.7","No","0"
"2018/02/01 07:05 pm","4.5","W","5.8","W","","49.1","30","18.7","No","0"
"2018/02/01 07:00 pm","4.5","W","5.8","W","","49.1","30","18.7","No","0"
"2018/02/01 06:55 pm","3.6","NW","3.8","NW","","47.1","34","20.3","No","0"
"2018/02/01 06:50 pm","3.6","NW","3.8","NW","","47.1","34","20.3","No","0"
"2018/02/01 06:45 pm","3.6","NW","3.8","NW","","47.1","34","20.3","No","0"
"2018/02/01 06:40 pm","1.1","WNW","3.6","W","","49.3","32","20.8","No","0"
"2018/02/01 06:35 pm","1.1","WNW","3.6","W","","49.3","32","20.8","No","0"
"2018/02/01 06:30 pm","2.55","WNW","4.95","W","","49.75","31.5","20.55","No","0"
"2018/02/01 06:25 pm","4","WNW","6.3","W","","50.2","31","20.3","No","0"
"2018/02/01 06:20 pm","4","WNW","6.3","W","","50.2","31","20.3","No","0"
"2018/02/01 06:15 pm","3.85","WNW","5.1","WNW","","50.05","31","20.3","No","0"
"2018/02/01 06:10 pm","3.8","WNW","4.7","WNW","","50","31","20.3","No","0"
"2018/02/01 06:05 pm","3.8","WNW","4.7","WNW","","50","31","20.3","No","0"
"2018/02/01 06:00 pm","3.4","NW","4","NW","","50","32","21.2","No","0"
"2018/02/01 05:55 pm","3.4","NW","4","NW","","50","32","21.2","No","0"
"2018/02/01 05:50 pm","3.95","WNW","4.7","WNW","","50.9","31","21.2","No","0"
"2018/02/01 05:45 pm","4.5","WNW","5.4","WNW","","51.8","30","21.2","No","0"
"2018/02/01 05:40 pm","4.5","WNW","5.4","WNW","","51.8","30","21.2","No","0"
"2018/02/01 05:35 pm","4.633","WNW","5.8","W","","52.4","29.333","21.2","No","0"
"2018/02/01 05:30 pm","4.7","WNW","6","W","","52.7","29","21.2","No","0"
"2018/02/01 05:25 pm","4.7","WNW","6","W","","52.7","29","21.2","No","0"
"2018/02/01 05:20 pm","4.9","W","6.9","W","","53.8","27","20.3","No","0"
"2018/02/01 05:15 pm","4.9","W","6.9","W","","53.8","27","20.3","No","0"
"2018/02/01 05:10 pm","4.9","W","6.9","W","","53.8","27","20.3","No","0"
"2018/02/01 05:05 pm","5.8","W","8.3","W","","55.2","26","20.5","No","0"
"2018/02/01 05:00 pm","5.8","W","8.3","W","","55.2","26","20.5","No","0"
"2018/02/01 04:55 pm","5.9","W","8.75","W","","55.65","25","20.3","No","0"
"2018/02/01 04:50 pm","6","W","9.2","W","","56.1","24","20.1","No","0"
"2018/02/01 04:45 pm","6","W","9.2","W","","56.1","24","20.1","No","0"
"2018/02/01 04:40 pm","5.55","W","7.475","W","","56.55","24","20.25","No","0"
"2018/02/01 04:35 pm","5.4","W","6.9","W","","56.7","24","20.3","No","0"
"2018/02/01 04:30 pm","5.4","W","6.9","W","","56.7","24","20.3","No","0"
"2018/02/01 04:25 pm","5.8","W","7.4","W","","57.2","24","20.1","No","0"
"2018/02/01 04:20 pm","5.8","W","7.4","W","","57.2","24","20.1","No","0"
"2018/02/01 04:15 pm","5.7","W","7.775","W","","57.425","23.5","19.975","No","0"
"2018/02/01 04:10 pm","5.4","W","8.9","WSW","","58.1","22","19.6","No","0"
"2018/02/01 04:05 pm","5.4","W","8.9","WSW","","58.1","22","19.6","No","0"
"2018/02/01 04:00 pm","5.7","W","10.15","W","","58.45","21.5","19.3","No","0"
"2018/02/01 03:55 pm","6","WNW","11.4","W","","58.8","21","19","No","0"
"2018/02/01 03:50 pm","6","WNW","11.4","W","","58.8","21","19","No","0"
"2018/02/01 03:45 pm","6.3","W","9.4","W","","59.5","21","19.4","No","0"
"2018/02/01 03:40 pm","6.3","W","9.4","W","","59.5","21","19.4","No","0"
"2018/02/01 03:35 pm","6.3","W","9.4","W","","59.5","21","19.4","No","0"
"2018/02/01 03:30 pm","5.1","WSW","14.1","W","","60.8","19","18.7","No","0"
"2018/02/01 03:25 pm","5.1","WSW","14.1","W","","60.8","19","18.7","No","0"
"2018/02/01 03:20 pm","5.95","W","13.825","WNW","","60.625","19","18.475","No","0"
"2018/02/01 03:15 pm","8.5","WNW","13","WNW","","60.1","19","17.8","No","0"
"2018/02/01 03:10 pm","8.5","WNW","13","WNW","","60.1","19","17.8","No","0"
"2018/02/01 03:05 pm","7.775","WSW","11.925","WSW","","60.1","19.75","18.6","No","0"
"2018/02/01 03:00 pm","5.6","ESE","8.7","E","","60.1","22","21","No","0"
"2018/02/01 02:55 pm","5.6","ESE","8.7","E","","60.1","22","21","No","0"
"2018/02/01 02:50 pm","6.275","E","10.05","E","","59.425","22","20.475","No","0"
"2018/02/01 02:45 pm","6.5","E","10.5","E","","59.2","22","20.3","No","0"
"2018/02/01 02:40 pm","6.5","E","10.5","E","","59.2","22","20.3","No","0"
"2018/02/01 02:35 pm","7.8","ESE","10.7","E","","61","21","20.7","No","0"
"2018/02/01 02:30 pm","7.8","ESE","10.7","E","","61","21","20.7","No","0"
"2018/02/01 02:25 pm","7.575","ESE","11.15","E","","61","21","20.775","No","0"
"2018/02/01 02:20 pm","6.9","ENE","12.5","ESE","","61","21","21","No","0"
"2018/02/01 02:15 pm","6.9","ENE","12.5","ESE","","61","21","21","No","0"
"2018/02/01 02:10 pm","5.7","E","9.567","E","","61.133","20.333","20.067","No","0"
"2018/02/01 02:05 pm","5.1","ESE","8.1","E","","61.2","20","19.6","No","0"
"2018/02/01 02:00 pm","5.1","ESE","8.1","E","","61.2","20","19.6","No","0"
"2018/02/01 01:55 pm","7.5","ESE","10.275","E","","61.875","19.25","19.6","No","0"
"2018/02/01 01:55 am","0","SSW","1.8","SW","","43.9","32","15.8","No","0"
"2018/02/01 01:50 am","0.2","SW","2.35","WSW","","44.25","31","15.55","No","0"
"2018/02/01 01:45 am","0.85","WSW","3.125","WSW","","44.15","30.5","15.25","No","0"
"2018/02/01 01:40 am","2.2","NW","3.8","WSW","","42.8","32","15.1","No","0"
"2018/02/01 01:35 am","2.2","WSW","3.6","SW","","41.4","35","16","No","0"
"2018/02/01 01:30 am","2.05","SW","3.45","WSW","","42.6","35","16.675","No","0"
"2018/02/01 01:25 am","1.725","SW","3.675","WSW","","42.675","34.75","16.525","No","0"
"2018/02/01 01:20 am","0.9","WSW","4.5","WSW","","41.7","34","15.4","No","0"
"2018/02/01 01:15 am","3.8","WSW","4.5","WSW","","42.8","33","16","No","0"
"2018/02/01 01:10 am","2.825","W","3.3","W","","44","30","14.5","No","0"
"2018/02/01 01:05 am","1.667","W","1.933","W","","43.4","30.667","14.367","No","0"
"2018/02/01 01:00 am","0","W","0.225","SW","","41.625","33.75","15.175","No","0"
"2018/02/01 12:55 am","0","NW","0.9","SW","","42.3","33","15.4","No","0"
"2018/02/01 12:50 am","0","SW","3.1","SSW","","43.3","32","15.4","No","0"
"2018/02/01 12:45 am","2.2","WSW","3.1","SSW","","42.1","33","14.7","No","0"
"2018/02/01 12:40 am","1.767","SW","3.2","SW","","42.033","33.333","15.067","No","0"
"2018/02/01 12:35 am","1.225","WSW","3.5","WNW","","42","33.75","15.7","No","0"
"2018/02/01 12:30 am","2.2","WNW","3.8","WNW","","42.3","33","15.4","No","0"
"2018/02/01 12:25 am","0.4","WNW","2.9","WNW","","44.2","30","14.4","No","0"
"2018/02/01 12:20 am","0.1","W","0.725","WSW","","42.775","31.5","14.625","No","0"
"2018/02/01 12:15 am","0","WSW","0","WSW","","42.375","32.25","14.925","No","0"
"2018/02/01 12:10 am","0","SSW","0","W","","42.6","33","15.6","No","0"
"2018/02/01 12:05 am","0","W","2.2","WSW","","44.1","32","15.8","No","0"
"2018/02/01 12:00 am","0.15","WNW","2.725","SW","","42.825","32","14.825","No","0"
