"Date","Wind Speed(mph)","Wind Dir","Gust Speed(mph)","Gust Dir","Visibility(miles)","Air Temp(°F)","Relative Humidity(%)","Dew Point(°F)","Rain?(y/n)","Rain Rate(in/hr)"
"2018/07/01 11:55 pm","7.4","SW","14.5","SSW","","77.5","16","28","Yes","0"
"2018/07/01 11:50 pm","6.85","SSW","14.85","SSW","","77.45","16","27.95","Yes","0"
"2018/07/01 11:45 pm","6.225","SSW","14.975","SSW","","77.475","16","27.85","Yes","0"
"2018/07/01 11:40 pm","6","SW","14.3","SW","","77.7","16","27.7","Yes","0"
"2018/07/01 11:35 pm","8.5","SSW","15.9","SSW","","77.7","16","28","Yes","0"
"2018/07/01 11:30 pm","8.5","SW","14.175","SW","","77.475","16","28","Yes","0"
"2018/07/01 11:25 pm","8.15","SSW","13.2","SSW","","77.2","16","27.95","Yes","0"
"2018/07/01 11:20 pm","7.15","SSW","12","SSW","","77.1","16","27.9","Yes","0"
"2018/07/01 11:15 pm","6.7","SW","12.2","SSW","","77.3","16","27.95","Yes","0"
"2018/07/01 11:10 pm","7.15","SW","14","S","","77.4","16","28","Yes","0"
"2018/07/01 11:05 pm","7.3","SSW","15.7","S","","77.2","16","27.85","Yes","0"
"2018/07/01 11:00 pm","7.3","SSW","15.45","S","","77.25","16","27.5","Yes","0"
"2018/07/01 10:55 pm","7.4","S","14.3","SSW","","77.5","16","27.3","Yes","0"
"2018/07/01 10:50 pm","6.7","SSW","12.5","SW","","77.9","15","27.1","Yes","0"
"2018/07/01 10:45 pm","8.1","SW","13.2","S","","77.9","16","27.3","Yes","0"
"2018/07/01 10:40 pm","7.85","SSW","13.2","S","","77.8","15.5","27.15","Yes","0"
"2018/07/01 10:35 pm","7.6","S","13.2","S","","77.7","15","27","Yes","0"
"2018/07/01 10:30 pm","6.9","S","15","SSW","","78.1","15","26.6","Yes","0"
"2018/07/01 10:25 pm","6.75","S","13.35","SSW","","78.1","15","26.3","Yes","0"
"2018/07/01 10:20 pm","7.033","S","14.133","SSW","","78.433","15","26.2","Yes","0"
"2018/07/01 10:15 pm","7.2","SSW","14.8","SSW","","78.6","15","26.2","Yes","0"
"2018/07/01 09:55 pm","7.2","SW","12.95","SSW","","79.325","14","25.9","Yes","0.75"
"2018/07/01 09:50 pm","7.2","SW","14.3","S","","79.7","14","25.9","Yes","0"
"2018/07/01 09:45 pm","4.7","S","12.5","SW","","79.7","14","25.5","Yes","0"
"2018/07/01 09:40 pm","6.05","SSW","12.875","WNW","","79.85","14","25.5","Yes","0"
"2018/07/01 09:35 pm","5.45","WSW","13","WNW","","80.575","13.25","25.5","Yes","0"
"2018/07/01 09:30 pm","4.5","WNW","10.6","WSW","","80.125","13","25.5","Yes","0"
