"Date","Wind Speed(mph)","Wind Dir","Gust Speed(mph)","Gust Dir","Visibility(miles)","Air Temp(°F)","Relative Humidity(%)","Dew Point(°F)","Rain?(y/n)","Rain Rate(in/hr)"
"2018/05/31 11:55 pm","10.3","SW","22.1","S","","56.1","35","28.6","Yes","0"
"2018/05/31 11:50 pm","14.1","SSW","23","SW","","56.5","33","27.3","Yes","0"
"2018/05/31 11:45 pm","12.1","SSW","23","SW","","57","32","27.1","Yes","0"
"2018/05/31 11:40 pm","11.2","SW","21.7","SSW","","56.7","32","27.1","Yes","0"
"2018/05/31 11:35 pm","11.6","SW","21.7","SSW","","56.1","33","27.3","Yes","0"
"2018/05/31 11:30 pm","11","SW","23","SSW","","56.5","33","27.5","Yes","0"
"2018/05/31 11:25 pm","10.1","SW","23.5","SSW","","57.2","31","27","Yes","0"
"2018/05/31 11:20 pm","9.7","SW","22.425","SSW","","57.1","31.25","27.075","Yes","0"
"2018/05/31 11:15 pm","8.5","SW","19.2","SW","","56.8","32","27.3","Yes","0"
"2018/05/31 11:10 pm","9.8","SSW","19.2","SSW","","56.8","32","27.5","Yes","0"
"2018/05/31 11:05 pm","8.675","SSW","19.2","SSW","","57.25","32","27.5","Yes","0"
"2018/05/31 11:00 pm","7.625","SSW","16.875","SSW","","57.625","31.25","27.2","Yes","0"
"2018/05/31 10:55 pm","8.9","SSW","15.575","SW","","57.85","31","27.4","Yes","0"
"2018/05/31 10:50 pm","8.333","SW","18.733","SW","","58.167","30.333","27.167","Yes","0"
"2018/05/31 10:45 pm","6.3","SSW","21.075","S","","58.3","29.25","26.4","Yes","0"
"2018/05/31 10:40 pm","6.5","SSW","21.05","SSE","","58.4","29","26.15","Yes","0"
"2018/05/31 10:35 pm","7.2","SSW","20.8","SSE","","58.5","29","26.1","Yes","0"
"2018/05/31 10:30 pm","7.8","SSW","21","SSW","","58.6","29","26.6","Yes","0"
"2018/05/31 10:25 pm","9.2","SSW","21","SSW","","58.5","30","27","Yes","0"
"2018/05/31 10:20 pm","8.2","SSW","17.75","S","","58.5","29.5","26.6","Yes","0"
"2018/05/31 10:15 pm","6.575","SW","14.625","S","","58.625","29","26.2","Yes","0"
"2018/05/31 10:10 pm","5.1","SW","15","SW","","58.95","29","26.25","Yes","0"
"2018/05/31 10:05 pm","6.75","SSW","15.6","SSW","","58.85","28.75","26.175","Yes","0"
"2018/05/31 10:00 pm","8.525","S","17.85","S","","59.125","27.5","25.225","Yes","0"
"2018/05/31 09:55 pm","9.875","S","19.2","SSW","","59.7","25.25","23.925","Yes","0"
"2018/05/31 09:50 pm","10.1","S","19.2","SSW","","60.3","23","22.5","Yes","0"
"2018/05/31 09:45 pm","10.1","S","18.75","S","","60.3","23.75","22.725","Yes","0"
"2018/05/31 09:40 pm","9.333","S","19.267","S","","60.333","23.667","22.7","Yes","0"
"2018/05/31 09:35 pm","7.8","S","20.6","S","","60.4","23","22.5","Yes","0"
"2018/05/31 09:30 pm","8.9","S","25.3","S","","61.2","22","21.9","Yes","0"
"2018/05/31 09:25 pm","8.9","S","25.3","S","","60.75","22.75","22.05","Yes","0"
"2018/05/31 09:20 pm","13.775","S","25.3","S","","60.75","22.25","22.1","Yes","0"
"2018/05/31 09:15 pm","10.9","S","21.1","S","","60.65","22","21.8","Yes","0"
"2018/05/31 09:10 pm","12.1","S","20","S","","60.75","22","21.325","Yes","0"
"2018/05/31 09:05 pm","9.475","S","20.1","S","","61.1","20.5","20.525","Yes","0"
"2018/05/31 09:00 pm","9.5","S","21.8","S","","61.35","20","19.95","Yes","0"
"2018/05/31 08:55 pm","10.7","S","23.5","SSW","","61.5","20","19.6","Yes","0"
"2018/05/31 08:50 pm","10.5","SW","23.5","SSW","","62.4","18","17.8","Yes","0"
"2018/05/31 08:45 pm","6.975","SSW","23.65","SSW","","62.7","17.25","17.125","Yes","0"
"2018/05/31 08:40 pm","8.15","SW","24.4","SSW","","62.95","17","17.35","Yes","0"
"2018/05/31 08:35 pm","10.5","WSW","25.1","SSW","","63.1","17","17.8","Yes","0"
"2018/05/31 08:30 pm","11","SSW","25.1","SSW","","63.1","17","17.1","Yes","0"
"2018/05/31 08:25 pm","10.3","SSW","18.3","SSW","","63.5","16","16.9","Yes","0"
"2018/05/31 08:20 pm","10.5","SSW","25.1","SSW","","63.7","16","16.7","Yes","0"
"2018/05/31 08:15 pm","13.4","SSW","25.1","SSW","","64.2","15","16.2","Yes","0"
"2018/05/31 08:10 pm","12.5","SW","21.7","SSW","","64.6","16","17.1","Yes","0"
"2018/05/31 08:05 pm","9.8","SSW","21.025","S","","64.75","16","17.325","Yes","0"
"2018/05/31 08:00 pm","8.475","SSW","19.8","S","","64.7","16.25","17.55","Yes","0"
"2018/05/31 07:55 pm","7.2","S","16.8","S","","64.4","17","18","Yes","0"
"2018/05/31 07:50 pm","10.1","S","20.6","SSE","","64.8","16","18","Yes","0"
"2018/05/31 07:45 pm","11.3","S","20.6","SSE","","65.25","16.5","18.5","Yes","0"
"2018/05/31 07:40 pm","11.55","S","19.975","SSW","","65.925","17.5","20","Yes","0"
"2018/05/31 07:35 pm","8.7","SSW","18.1","WNW","","66.6","19","23","Yes","0"
"2018/05/31 07:30 pm","11.4","WSW","18.1","WNW","","66.9","20","24.1","Yes","0"
"2018/05/31 07:25 pm","6.7","SW","17","S","","67.3","20","24.6","Yes","0"
"2018/05/31 07:20 pm","9.6","SW","17","S","","67.5","20","24.8","Yes","0"
"2018/05/31 07:15 pm","4.3","SSW","21.3","S","","67.6","20","24.8","Yes","0"
"2018/05/31 07:10 pm","10.3","S","23.5","WNW","","67.8","20","24.6","Yes","0"
"2018/05/31 07:05 pm","9.4","SSW","19.2","NW","","68","20","25","Yes","0"
"2018/05/31 07:00 pm","5.6","SSW","28","SW","","68.4","20","25.2","Yes","0"
"2018/05/31 06:55 pm","10.5","S","28","SW","","68.4","20","25.3","Yes","0"
"2018/05/31 06:50 pm","9.8","S","21.9","SSW","","68.5","20","25.5","Yes","0"
"2018/05/31 06:45 pm","10.7","SSW","25.7","S","","68.9","20","25.9","Yes","0"
"2018/05/31 06:40 pm","14.3","SW","25.7","S","","68.9","19","25.2","Yes","0"
"2018/05/31 06:35 pm","10.775","SW","27.875","WSW","","69.2","19","25.05","Yes","0"
"2018/05/31 06:30 pm","8.275","SW","30.85","WSW","","69.3","19","24.9","Yes","0"
"2018/05/31 06:25 pm","4.3","W","37.6","SSW","","69.3","19","24.6","Yes","0"
"2018/05/31 06:20 pm","16.1","SSW","37.6","SSW","","69.4","18","24.4","Yes","0"
"2018/05/31 06:15 pm","13","S","24.2","S","","69.8","18","24.8","Yes","0"
"2018/05/31 06:10 pm","6.9","SW","26.2","SSW","","70","19","25.2","Yes","0"
"2018/05/31 06:05 pm","12.8","SSW","30.9","S","","69.8","19","25","Yes","0"
"2018/05/31 06:00 pm","6.5","SW","32.2","W","","70.2","19","25.9","Yes","0"
"2018/05/31 05:55 pm","7.6","SW","26.2","S","","70.2","19","26.2","Yes","0"
"2018/05/31 05:50 pm","8.467","SW","26.2","S","","70.4","19","26.6","Yes","0"
"2018/05/31 05:45 pm","10.775","SSW","25","SSW","","70.65","19","26.35","Yes","0"
"2018/05/31 05:40 pm","8.4","SSW","20.925","SW","","71","19","26.5","Yes","0"
"2018/05/31 05:35 pm","9.425","S","27.425","S","","71.325","18.25","26.3","Yes","0"
"2018/05/31 05:30 pm","11.225","S","30","S","","71.175","18.75","26.2","Yes","0"
"2018/05/31 05:25 pm","11.775","SW","28.375","SSW","","71.175","19","26.25","Yes","0"
"2018/05/31 05:20 pm","12.3","WNW","23.5","W","","71.4","19","26.4","Yes","0"
"2018/05/31 05:15 pm","6.5","SSW","20.8","SW","","71.4","18","26.1","Yes","0"
"2018/05/31 05:10 pm","9.3","SSW","20.8","SW","","71.25","18.5","26.15","Yes","0"
"2018/05/31 05:05 pm","11.825","S","24.2","SW","","71.275","18.75","26.2","Yes","0"
"2018/05/31 05:00 pm","11","SSW","34.4","SSE","","71.8","18","26.2","Yes","0"
"2018/05/31 04:55 pm","17.2","S","34.4","SSE","","71.6","17","24.6","Yes","0"
"2018/05/31 04:50 pm","16.225","S","30.575","SSE","","71.6","17.75","25.8","Yes","0"
"2018/05/31 04:45 pm","15.9","S","29.3","S","","71.6","18","26.2","Yes","0"
"2018/05/31 04:40 pm","12.1","SSW","23.7","SSW","","71.6","18","26.2","Yes","0"
"2018/05/31 04:35 pm","10.5","S","25.5","WNW","","72","18","26.4","Yes","0"
"2018/05/31 04:30 pm","7.6","WSW","28.6","S","","73","18","26.4","Yes","0"
"2018/05/31 04:25 pm","9.2","SSW","28.6","S","","72","18","26.4","Yes","0"
"2018/05/31 04:20 pm","11.2","SW","24.8","SE","","72.1","18","26.1","Yes","0"
"2018/05/31 04:15 pm","5.1","SSW","23.9","SSW","","72","17","25.2","Yes","0"
"2018/05/31 04:10 pm","13","SSW","24.2","W","","72.5","17","24.8","Yes","0"
"2018/05/31 04:05 pm","8.1","SW","24.8","S","","72.5","16","24.1","Yes","0"
"2018/05/31 04:00 pm","12.3","SSW","26.6","S","","72.3","16","23.4","Yes","0"
"2018/05/31 03:55 pm","11.6","SSW","26.6","S","","72.3","15","22.6","Yes","0"
"2018/05/31 03:50 pm","10.7","S","27.3","S","","72.1","15","21.2","Yes","0"
"2018/05/31 03:45 pm","13.2","SSW","27.3","S","","71.4","14","19.8","Yes","0"
"2018/05/31 03:40 pm","13","S","25.1","SSW","","72.7","14","20.3","Yes","0"
"2018/05/31 03:35 pm","9.6","S","25.3","S","","73.2","15","22.8","Yes","1"
"2018/05/31 03:30 pm","11.6","S","25.6","S","","72.95","15.5","23","No","1"
"2018/05/31 03:25 pm","12.65","S","26.925","SSW","","72.875","16","23.325","err","1"
"2018/05/31 03:20 pm","9.8","SSE","30","SSW","","73.4","16","23.7","Yes","1"
"2018/05/31 03:15 pm","13.9","S","30","SSW","","72.9","15","23.2","err",""
"2018/05/31 03:10 pm","12.9","S","27.85","S","","72.45","15.5","23","err",""
"2018/05/31 03:05 pm","10.85","SSW","23.5","SW","","72.15","15.5","22.7","err",""
"2018/05/31 03:00 pm","8.8","SSW","24.5","SW","","72.05","15","22.15","err",""
"2018/05/31 02:55 pm","8.7","S","26.6","SSW","","71.85","14.75","21.4","err",""
"2018/05/31 02:50 pm","11.4","S","23.3","SW","","72","14","20.5","err",""
"2018/05/31 02:45 pm","13.2","S","26.6","WSW","","73","13","19","err",""
"2018/05/31 02:40 pm","10.2","SW","26.6","WSW","","72.925","12.25","17.275","err","0"
"2018/05/31 02:35 pm","9.35","WSW","25.325","WSW","","72.7","11.75","16.15","Yes","0"
"2018/05/31 02:30 pm","9.8","WSW","22.325","WSW","","72.025","11.25","14.95","Yes","0"
"2018/05/31 02:25 pm","10.75","SSW","25.875","S","","71.75","11.75","15.95","Yes","0"
"2018/05/31 02:20 pm","13.5","SW","29.1","SSE","","71.7","11","14.95","Yes","0"
"2018/05/31 02:15 pm","14.375","S","28.75","SSW","","71.725","11","14.875","Yes","0"
"2018/05/31 02:10 pm","17.9","S","27.7","WNW","","70.9","11","14.2","Yes","0"
"2018/05/31 02:00 pm","8.5","SW","24.4","SW","","71.2","13","17.4","err",""
"2018/05/31 01:55 pm","10.1","SSW","26.8","SSW","","71.4","12","16.3","Yes","1"
"2018/05/31 01:50 pm","11.6","SSW","26.8","SSW","","70.9","14","18.5","Yes","0"
"2018/05/31 01:45 pm","13.4","SW","32.7","SSW","","70.2","14","19.2","Yes","0"
"2018/05/31 01:40 pm","17.2","S","32.7","SSW","","69.8","14","18","Yes","0"
"2018/05/31 01:35 pm","16.1","S","32.4","SSW","","69.9","14","18.25","Yes","0"
"2018/05/31 01:30 pm","12.8","SSW","31.5","S","","70.2","14","19","Yes","0"
"2018/05/31 01:25 pm","20.6","S","31.5","S","","69.3","15","19","Yes","0"
"2018/05/31 01:20 pm","15.2","SSW","33.675","SSW","","69.675","15","19.45","Yes","0"
"2018/05/31 01:15 pm","15.1","SSW","34.4","SSW","","69.45","15","19.25","Yes","0"
"2018/05/31 01:10 pm","18.15","SSW","34.3","SSW","","69.45","14.5","18.25","Yes","0"
"2018/05/31 01:05 pm","19.5","SSW","34.2","S","","69.8","14","17.6","Yes","0"
"2018/05/31 01:00 pm","14.3","S","30","S","","70.7","12","15.4","Yes","0"
"2018/05/31 12:55 pm","11.6","SSW","29.5","SSW","","70.3","14","18.1","Yes","0"
"2018/05/31 12:50 pm","13.225","SSW","29.5","SSW","","70.275","13.75","17.85","Yes","0"
"2018/05/31 12:45 pm","18.1","SSW","29.5","SSW","","70.2","13","17.1","Yes","0"
"2018/05/31 12:40 pm","11.6","SSW","30.2","S","","70.3","14","18.7","Yes","0"
"2018/05/31 12:35 pm","12.85","S","30.2","S","","70.4","14","18.7","Yes","0"
"2018/05/31 12:30 pm","15","S","29.85","S","","69.9","14.5","19.15","Yes","0"
"2018/05/31 12:25 pm","12.75","S","29.4","S","","69","15","19.15","Yes","0"
"2018/05/31 12:20 pm","9.85","S","26.5","SSW","","69.45","15","19.25","Yes","0"
"2018/05/31 12:15 pm","7.95","SSW","27.5","SSW","","70.1","15","20.05","Yes","0"
"2018/05/31 12:10 pm","9.15","SW","31.3","SSW","","70","14.5","19.625","Yes","0"
"2018/05/31 12:05 pm","19.2","SSW","31.3","SSW","","70","13","17.6","Yes","0"
"2018/05/31 12:00 pm","13.4","S","24.4","SSW","","70.5","14","18.7","Yes","0"
"2018/05/31 11:55 am","13.4","SSW","24.4","SSW","","69.975","14","18.925","Yes","0"
"2018/05/31 11:50 am","13.675","SSW","23.625","SSW","","70.3","14","19.325","Yes","0"
"2018/05/31 11:45 am","14.5","SSW","21.3","S","","71.8","14","20.3","Yes","0"
