"Date","Wind Speed(mph)","Wind Dir","Gust Speed(mph)","Gust Dir","Visibility(miles)","Air Temp(°F)","Relative Humidity(%)","Dew Point(°F)","Rain?(y/n)","Rain Rate(in/hr)"
"2018/02/28 11:55 pm","4.7","SW","15.4","SW","","36","55","21.2","No","0"
"2018/02/28 11:50 pm","5.7","WSW","18.2","SSW","","36","55","21.2","No","0"
"2018/02/28 11:45 pm","6.1","WSW","18.6","S","","35.9","55.25","21.2","No","0"
"2018/02/28 11:40 pm","4.3","WSW","11.4","SSW","","35.6","56","21.2","No","0"
"2018/02/28 11:35 pm","4.5","SW","13","WSW","","36.7","53","21.2","No","0"
"2018/02/28 11:30 pm","4.95","SW","16.3","SW","","36.7","53.75","21.2","No","0"
"2018/02/28 11:25 pm","7.25","SW","17.4","SSW","","36.7","53.5","21.2","No","0"
"2018/02/28 11:20 pm","9.4","SW","17.4","SSW","","36.7","53","21.2","No","0"
"2018/02/28 11:15 pm","6","S","18.1","SSE","","37","52","21.2","No","0"
"2018/02/28 11:10 pm","10.7","S","18.1","SSE","","37.2","52","21","No","0"
"2018/02/28 11:05 pm","4.9","SE","20.8","WNW","","36.9","52","20.8","No","0"
"2018/02/28 11:00 pm","4.25","SSE","20.8","WNW","","37.05","51.5","20.8","err","0"
"2018/02/28 10:55 pm","4.15","WSW","18.55","SW","","37.2","51","20.8","No","0"
"2018/02/28 10:50 pm","5.475","W","16.3","S","","37.125","51.25","20.8","No","0"
"2018/02/28 10:45 pm","7.8","SSW","16.3","S","","36.9","52","20.8","No","0"
"2018/02/28 10:40 pm","5.6","NNW","15","WSW","","37.2","51","20.5","No","0"
"2018/02/28 10:35 pm","5.6","WNW","21","WSW","","36.525","51","19.975","No","0"
"2018/02/28 10:30 pm","5.65","WSW","23.075","SW","","36.625","50.25","19.8","No","0"
"2018/02/28 10:25 pm","5.8","SSE","23.3","S","","37.6","48","19.8","No","0"
"2018/02/28 10:20 pm","4.7","SSW","19","SSW","","37.2","46","18.1","err","0"
"2018/02/28 10:15 pm","6","S","13.9","SSE","","36.3","48","18.5","No","0"
"2018/02/28 10:10 pm","6.675","SSE","13.9","SSE","","36.075","48","18.2","No","0"
"2018/02/28 10:05 pm","7.233","W","12.7","WSW","","34.267","54","19.233","No","0"
"2018/02/28 10:00 pm","7.4","NW","12.1","WNW","","33.4","57","19.8","No","0"
"2018/02/28 09:55 pm","9.4","WNW","12.1","WNW","","33.4","58","20.1","No","0"
"2018/02/28 09:50 pm","7.225","WNW","12.925","WNW","","33.55","58","20.25","No","0"
"2018/02/28 09:45 pm","6.9","WNW","12.875","WNW","","33.775","56.75","19.975","No","0"
"2018/02/28 09:40 pm","8.1","W","11.9","WNW","","34.3","53","19","err","0"
"2018/02/28 09:35 pm","7.4","WNW","11.2","WNW","","33.8","58","20.3","No","0"
"2018/02/28 09:30 pm","8.075","WNW","12.175","WNW","","34.625","55","20","No","0"
"2018/02/28 09:25 pm","8.5","WNW","12.5","WNW","","34.8","55","20.2","err","0"
