"Date","Wind Speed(mph)","Wind Dir","Gust Speed(mph)","Gust Dir","Visibility(miles)","Air Temp(°F)","Relative Humidity(%)","Dew Point(°F)","Rain?(y/n)","Rain Rate(in/hr)"
"2018/05/01 11:55 pm","3.4","WNW","6.7","W","","38.8","100","39.6","No","0"
"2018/05/01 11:50 pm","4.225","WNW","7.525","WNW","","38.8","100","39.45","No","0"
"2018/05/01 11:45 pm","5","WNW","7.8","WNW","","38.95","100","39.575","No","0"
"2018/05/01 11:40 pm","6.5","WNW","7.8","WNW","","39.4","100","40.1","No","0"
"2018/05/01 11:35 pm","4.7","WNW","5.8","NW","","39","100","39.6","No","0"
"2018/05/01 11:30 pm","3.2","W","4.825","W","","38.625","100","39.15","No","0"
"2018/05/01 11:25 pm","2.75","W","4.5","W","","38.55","100","39.05","No","0"
"2018/05/01 11:20 pm","2.9","W","4.5","W","","38.7","100","39.2","No","0"
"2018/05/01 11:15 pm","3.1","W","4.5","WNW","","39","100","39.6","No","0"
"2018/05/01 11:10 pm","3.325","W","4.5","WNW","","39.3","100","39.825","No","0"
"2018/05/01 11:05 pm","3.5","WNW","4.5","WNW","","39.3","100","39.75","No","0"
"2018/05/01 11:00 pm","3.6","WNW","4.5","WNW","","39.2","100","39.6","No","0"
"2018/05/01 10:55 pm","0","W","0.9","W","","39","99","38.8","No","0"
"2018/05/01 10:50 pm","0","SE","0","SE","","39","99","38.7","No","0"
"2018/05/01 10:45 pm","0","SE","0","ESE","","39.3","99.75","39.075","No","0"
"2018/05/01 10:40 pm","0","SE","0","SSE","","39.4","100","39.2","No","0"
"2018/05/01 10:35 pm","0","ESE","0","SW","","39.4","99.25","39.2","No","0"
"2018/05/01 10:30 pm","0","SSE","0","WSW","","39.4","99","39.05","No","0"
"2018/05/01 10:25 pm","0","SW","0","SSW","","39.4","99","39","No","0"
"2018/05/01 10:20 pm","0","WSW","0","SSW","","39.45","99","39.1","No","0"
"2018/05/01 10:15 pm","0","SW","0","WSW","","39.6","99","39.4","No","0"
"2018/05/01 10:10 pm","0","WSW","0.9","W","","39.4","99","39.2","No","0"
"2018/05/01 10:05 pm","0","SW","0.9","NW","","39.6","99","39.4","No","0"
"2018/05/01 10:00 pm","0","WNW","3.6","NNW","","39.7","98","39.2","No","0"
"2018/05/01 09:55 pm","1.6","NNW","3.6","NNW","","39.6","99","39.2","No","0"
"2018/05/01 09:50 pm","2.7","NW","3.6","NNW","","39.7","100","39.6","No","0"
"2018/05/01 09:45 pm","0.4","N","4.3","NNE","","39.6","100","39.6","No","0"
"2018/05/01 09:40 pm","1.65","S","4.3","NNE","","39.6","100","39.5","No","0"
"2018/05/01 09:35 pm","2.175","E","3.225","E","","39.55","100","39.4","No","0"
