"Date","Wind Speed(mph)","Wind Dir","Gust Speed(mph)","Gust Dir","Visibility(miles)","Air Temp(°F)","Relative Humidity(%)","Dew Point(°F)","Rain?(y/n)","Rain Rate(in/hr)"
"2018/11/30 11:55 pm","6","SW","8.5","WSW","","35.4","92","33.4","No","0"
"2018/11/30 11:50 pm","3.4","W","6","W","","34.3","94","32.7","No","0"
"2018/11/30 11:45 pm","3.6","W","6","W","","34.2","94","32.5","No","0"
"2018/11/30 11:40 pm","3.4","W","4.9","NW","","33.6","97","32.9","No","0"
"2018/11/30 11:35 pm","3.4","W","4.9","NW","","33.6","97","32.9","No","0"
"2018/11/30 11:30 pm","3.8","NW","4.9","NW","","33.8","99","33.3","No","0"
"2018/11/30 11:25 pm","3.6","WNW","4.3","W","","33.3","99","32.7","No","0"
"2018/11/30 11:20 pm","3.4","WSW","4.7","W","","33.8","100","33.6","No","0"
"2018/11/30 11:15 pm","3.4","WSW","4.7","W","","33.8","100","33.6","No","0"
"2018/11/30 11:10 pm","2","NW","3.1","NW","","33.4","100","33.3","No","0"
"2018/11/30 11:05 pm","2","WNW","4.7","WNW","","33.3","98","32.7","No","0"
"2018/11/30 11:00 pm","3.8","WNW","4.7","WNW","","34.3","97","33.6","No","0"
"2018/11/30 10:55 pm","3.4","WNW","4.9","NNW","","33.8","99","33.4","No","0"
"2018/11/30 10:50 pm","3.4","WNW","4.9","NNW","","33.8","99","33.4","No","0"
"2018/11/30 10:45 pm","3.6","W","4.5","NW","","33.8","97","32.9","No","0"
"2018/11/30 10:40 pm","3.8","NW","4.5","W","","34","97","33.3","No","0"
"2018/11/30 10:35 pm","3.8","WNW","4.5","WNW","","34","98","33.4","No","0"
"2018/11/30 10:30 pm","3.8","WNW","4.5","WNW","","34","98","33.4","No","0"
"2018/11/30 10:25 pm","3.4","WNW","5.4","W","","34.2","97","33.3","No","0"
"2018/11/30 10:20 pm","4.5","W","5.4","W","","33.6","99","33.3","No","0"
"2018/11/30 10:15 pm","4","WNW","4.9","WNW","","33.6","99","33.3","No","0"
"2018/11/30 10:10 pm","4.15","WNW","4.8","WNW","","33.45","99.5","33.35","No","0"
"2018/11/30 10:05 pm","4.3","WNW","4.7","WNW","","33.3","100","33.4","No","0"
"2018/11/30 10:00 pm","3.6","WNW","4.9","W","","33.3","99","32.9","No","0"
"2018/11/30 09:55 pm","3.4","W","4.9","W","","34.2","98","33.6","No","0"
"2018/11/30 09:50 pm","4","W","5.1","WSW","","34.2","97","33.3","No","0"
"2018/11/30 09:45 pm","4","W","5.1","WSW","","34.2","97","33.3","No","0"
"2018/11/30 09:40 pm","3.6","WNW","4.7","WNW","","34.5","95","33.1","No","0"
"2018/11/30 09:35 pm","3.6","NW","4.7","WNW","","34.9","93","33.1","No","0"
"2018/11/30 09:30 pm","2.9","W","4.3","WNW","","35.1","94","33.3","No","0"
"2018/11/30 09:25 pm","2.9","W","4.3","WNW","","35.1","94","33.3","No","0"
"2018/11/30 09:20 pm","3.6","WNW","4.3","WNW","","35.2","94","33.6","No","0"
"2018/11/30 09:15 pm","3.4","WNW","4.9","WNW","","35.2","93","33.4","No","0"
"2018/11/30 09:10 pm","3.8","W","5.1","W","","35.4","92","33.3","No","0"
"2018/11/30 09:05 pm","4.3","WNW","5.1","W","","35.6","93","33.4","No","0"
"2018/11/30 09:00 pm","3.8","WNW","5.1","W","","35.2","93","33.3","No","0"
"2018/11/30 08:55 pm","3.4","WNW","5.6","WNW","","35.2","93","33.4","No","0"
"2018/11/30 08:50 pm","3.8","WNW","5.6","WNW","","35.6","93","33.6","No","0"
"2018/11/30 08:45 pm","4","WNW","4.9","WNW","","35.2","95","34","No","0"
"2018/11/30 08:40 pm","4.3","WNW","5.4","WNW","","34.5","96","33.3","No","0"
"2018/11/30 08:35 pm","4.7","WNW","5.4","WNW","","35.2","95","33.8","No","0"
"2018/11/30 08:30 pm","4.3","WNW","5.8","W","","35.2","94","33.6","No","0"
"2018/11/30 08:25 pm","4.7","W","5.8","W","","35.4","94","34","No","0"
"2018/11/30 08:20 pm","4.9","W","6","W","","35.4","94","33.8","No","0"
"2018/11/30 08:15 pm","4.5","W","6","W","","35.6","94","34","No","0"
"2018/11/30 08:10 pm","4.5","WSW","5.4","W","","35.2","94","33.6","No","0"
"2018/11/30 08:05 pm","4.3","W","5.4","W","","35.2","94","33.6","No","0"
"2018/11/30 08:00 pm","4.3","W","5.6","W","","35.5","93","33.5","No","0"
"2018/11/30 07:55 pm","3.8","W","5.8","W","","36","90","33.4","No","0"
"2018/11/30 07:50 pm","4","W","6.7","W","","36.3","88","33.3","No","0"
"2018/11/30 07:45 pm","4.7","W","7.6","W","","36.7","87","33.1","No","0"
"2018/11/30 07:40 pm","5.1","W","8.5","W","","36.7","87","33.1","No","0"
"2018/11/30 07:35 pm","4.3","W","9.2","WNW","","37","86","33.1","No","0"
"2018/11/30 07:30 pm","4.5","W","9.8","W","","37.4","85","33.3","No","0"
"2018/11/30 07:25 pm","5.6","W","9.95","WSW","","37.5","85","33.35","No","0"
"2018/11/30 07:20 pm","6.7","W","11.3","WSW","","37.95","83.5","33.25","No","0"
"2018/11/30 07:15 pm","6.15","WSW","12.85","W","","38.3","82","33.1","No","0"
"2018/11/30 07:10 pm","6.05","WSW","13.2","W","","38.4","81.5","33.1","No","0"
"2018/11/30 07:05 pm","7.15","WSW","12.75","WSW","","38.6","80","33","No","0"
"2018/11/30 07:00 pm","8.6","W","13.85","WSW","","38.75","79","32.9","No","0"
"2018/11/30 06:55 pm","9.4","W","15.4","W","","38.8","79","32.9","No","0"
"2018/11/30 06:50 pm","7.6","WSW","17","SW","","38.5","81","33.3","No","0"
"2018/11/30 06:45 pm","6","WSW","17","SW","","38.7","80","33.1","No","0"
"2018/11/30 06:40 pm","10.1","WSW","15.9","W","","38.7","81","33.1","No","0"
"2018/11/30 06:35 pm","10.1","WSW","15.9","W","","38.7","81","33.1","No","0"
