"Date","Wind Speed(mph)","Wind Dir","Gust Speed(mph)","Gust Dir","Visibility(miles)","Air Temp(°F)","Relative Humidity(%)","Dew Point(°F)","Rain?(y/n)","Rain Rate(in/hr)"
"2018/08/31 11:55 pm","5.075","WNW","5.85","WNW","","64.3","16","17.05","Yes","0"
"2018/08/31 11:50 pm","4.9","WNW","5.5","W","","63.675","16","17.1","Yes","0"
"2018/08/31 11:45 pm","4.9","WNW","5.7","WNW","","63.5","16.75","17.175","Yes","0"
"2018/08/31 11:40 pm","4.9","WNW","5.8","WNW","","64.325","16.25","17.2","Yes","0"
"2018/08/31 11:35 pm","5.275","WNW","5.95","WNW","","64.45","16","16.975","Yes","0"
"2018/08/31 11:30 pm","5.4","WNW","6","WNW","","63.875","16.75","17.275","Yes","0"
"2018/08/31 11:25 pm","5.4","WNW","5.85","WNW","","63.925","16.25","17.55","Yes","0"
"2018/08/31 11:20 pm","4.875","WNW","5.5","WNW","","64.45","16","17.45","Yes","0"
"2018/08/31 11:15 pm","5","WNW","5.7","W","","64.45","16","17.55","Yes","0"
"2018/08/31 11:10 pm","5.325","W","6.625","WNW","","65.75","15.25","17.225","Yes","0"
"2018/08/31 11:05 pm","5.4","WNW","7.275","WNW","","66.05","15","16.8","Yes","0"
"2018/08/31 11:00 pm","6.375","WNW","7.4","WNW","","65.475","15","17","Yes","0"
"2018/08/31 10:55 pm","5.725","WNW","6.575","WNW","","64.925","15.75","17.175","Yes","0"
"2018/08/31 10:50 pm","5.4","WNW","6.3","WNW","","64.5","16","17.3","Yes","0"
"2018/08/31 10:45 pm","5.15","WNW","6.3","WNW","","64.3","16","17.05","Yes","0"
"2018/08/31 10:40 pm","5.15","W","6.3","WNW","","64.95","15.5","16.7","Yes","0"
"2018/08/31 10:35 pm","5.25","W","6.15","WNW","","65.2","15","16.7","Yes","0"
"2018/08/31 10:30 pm","5.1","WNW","5.8","WNW","","65.1","15","16.6","Yes","0"
"2018/08/31 10:25 pm","4.7","WNW","6.067","WNW","","65.767","14.333","16.3","Yes","0"
"2018/08/31 10:20 pm","4.5","WNW","6.3","WNW","","66.35","14","16.25","Yes","0"
"2018/08/31 10:15 pm","4.5","WNW","5.7","WNW","","66.35","14.5","16.3","Yes","0"
"2018/08/31 10:10 pm","3.95","WNW","5.25","W","","66.45","14.5","16.3","Yes","0"
"2018/08/31 10:05 pm","4.05","WNW","5.7","WNW","","67.45","13.5","16.15","Yes","0"
"2018/08/31 10:00 pm","4.35","WNW","6.25","NW","","68.45","13","16.35","Yes","0"
"2018/08/31 09:55 pm","4.45","NW","6.85","NW","","69.35","13","16.9","Yes","0"
"2018/08/31 09:50 pm","4.9","NW","9.4","WNW","","70.15","13","17.1","Yes","0"
"2018/08/31 09:35 pm","5.6","WSW","13.4","WSW","","72.7","13","18.1","Yes","0"
"2018/08/31 09:30 pm","5.95","WSW","12.85","W","","72.7","12.5","18.05","Yes","0"
"2018/08/31 09:25 pm","6.4","SW","11.5","WSW","","72.7","12","17.8","Yes","0"
