"Date","Wind Speed(mph)","Wind Dir","Gust Speed(mph)","Gust Dir","Visibility(miles)","Air Temp(°F)","Relative Humidity(%)","Dew Point(°F)","Rain?(y/n)","Rain Rate(in/hr)"
"2018/09/01 11:55 pm","4.4","W","6.7","WSW","","67.4","24.25","29.35","Yes","0"
"2018/09/01 11:50 pm","4.475","W","6.425","WSW","","66.325","25","29","Yes","0"
"2018/09/01 11:45 pm","3.8","WNW","5.6","WSW","","66.975","24.75","29.3","Yes","0"
"2018/09/01 11:40 pm","3.4","W","5.65","WSW","","67.75","24","29.35","Yes","0"
"2018/09/01 11:35 pm","2.65","W","5.8","WSW","","67.825","23.75","29.325","Yes","0"
"2018/09/01 11:30 pm","4","W","5.525","W","","68.6","23","28.825","Yes","0"
"2018/09/01 11:25 pm","3.775","NW","4.7","NNW","","68.8","23","29.1","Yes","0"
"2018/09/01 11:20 pm","3.275","NNW","4.7","NW","","68.425","23.25","29.775","Yes","0"
"2018/09/01 11:15 pm","2.9","WNW","4.6","WSW","","68.15","24","30.05","Yes","0"
"2018/09/01 11:10 pm","1.167","NW","4.3","ENE","","67.767","24.333","30.333","Yes","0"
"2018/09/01 11:05 pm","3","W","4.125","ENE","","67.125","25.5","30.825","Yes","0"
"2018/09/01 11:00 pm","2.075","E","3.65","ENE","","66.675","27","31.575","Yes","0"
"2018/09/01 10:55 pm","0.775","SW","3.925","W","","66.95","27.25","31.975","Yes","0"
"2018/09/01 10:50 pm","2.6","WNW","4.3","W","","67.325","27.5","32.425","Yes","0"
"2018/09/01 10:45 pm","2.275","WSW","4.35","W","","67.825","26.25","32.2","Yes","0"
"2018/09/01 10:40 pm","0.475","SW","4.875","WNW","","67.075","27.25","32.2","Yes","0"
"2018/09/01 10:35 pm","1.75","WSW","6","WNW","","66.45","28.25","32.5","Yes","0"
"2018/09/01 10:30 pm","4.75","WNW","5.95","WNW","","66.9","29","33.6","Yes","0"
"2018/09/01 10:25 pm","3.85","WNW","5.2","W","","67.675","29","34.05","Yes","0"
"2018/09/01 10:20 pm","1.875","WNW","2.55","W","","67.65","28.75","33.7","Yes","0"
"2018/09/01 10:15 pm","0","WNW","0","WSW","","68.7","28.25","34.225","Yes","0"
"2018/09/01 10:10 pm","0","W","0","SW","","68.65","28.75","34.75","Yes","0"
"2018/09/01 10:05 pm","0","W","0","SW","","68.7","28","34.4","Yes","0"
"2018/09/01 10:00 pm","0","SW","0","WSW","","69.775","27.5","34.75","Yes","0"
"2018/09/01 09:55 pm","0","S","0.775","WNW","","71.025","26.25","34.9","Yes","0"
"2018/09/01 09:50 pm","0","SSW","3.275","ESE","","70.5","27","34.95","Yes","0"
"2018/09/01 09:45 pm","0.967","W","3.8","ESE","","70.4","27.333","35.267","Yes","0"
"2018/09/01 09:40 pm","2.45","ESE","3.7","ESE","","70.15","28","35.5","Yes","0"
"2018/09/01 09:35 pm","1.325","E","3.775","ESE","","70.05","28","35.35","Yes","0"
"2018/09/01 09:30 pm","1.5","E","5.175","ESE","","70.325","27.75","35.525","Yes","0"
"2018/09/01 09:25 pm","1","ESE","6","E","","70.7","27","34.75","Yes","0"
"2018/09/01 09:20 pm","3.725","ESE","5.575","E","","70.65","27","34.8","Yes","0"
"2018/09/01 09:15 pm","2.675","ESE","4.225","SE","","70.5","26.5","34.15","Yes","0"
